TRANSACTION_ID,USER_ID,AMOUNT,AMOUNT_ZSCORE,IS_HIGH_VALUE,USER_AVG_AMOUNT,USER_STD_AMOUNT,USER_TOTAL_TRANSACTIONS,TXN_COUNT_1H,TXN_COUNT_24H,TXN_COUNT_7D,CATEGORY,CATEGORY_RISK_WEIGHT,HOUR_OF_DAY,DAY_OF_WEEK,IS_WEEKEND,LOCATION,IS_NEW_LOCATION,LOCATION_ENTROPY,COMPUTED_AT
0D57D2DD85EF,USER_001,45.66,-0.6008,False,82.83796666666666,61.88393934910281,300,0,0,0,Jewelry,0.9,0,3,False,"Seattle, WA",True,2.557519251383109,2026-02-20T02:56:52.079131
5493A9436604,USER_001,102.95,0.325,False,82.83796666666666,61.88393934910281,300,0,1,1,Jewelry,0.9,8,3,False,"Miami, FL",True,2.557519251383109,2026-02-20T02:56:52.079131
7C9A2201670C,USER_001,303.36,3.5635,True,82.83796666666666,61.88393934910281,300,0,2,2,Restaurants,0.2,9,3,False,"Houston, TX",False,2.557519251383109,2026-02-20T02:56:52.079131
EB6DB280CEA3,USER_001,28.5,-0.8781,False,82.83796666666666,61.88393934910281,300,0,3,3,Clothing,0.4,16,3,False,"Phoenix, AZ",True,2.557519251383109,2026-02-20T02:56:52.079131
41637D58EC93,USER_001,137.37,0.8812,False,82.83796666666666,61.88393934910281,300,0,0,4,Clothing,0.4,23,4,False,"Boston, MA",True,2.557519251383109,2026-02-20T02:56:52.079131
1897902CEEB3,USER_001,52.21,-0.4949,False,82.83796666666666,61.88393934910281,300,0,1,5,Clothing,0.4,3,5,True,"New York, NY",True,2.557519251383109,2026-02-20T02:56:52.079131
54A91639728B,USER_001,64.59,-0.2949,False,82.83796666666666,61.88393934910281,300,0,1,6,Jewelry,0.9,2,6,True,"San Francisco, CA",True,2.557519251383109,2026-02-20T02:56:52.079131
70A21E7A683F,USER_001,52.13,-0.4962,False,82.83796666666666,61.88393934910281,300,0,1,7,Jewelry,0.9,4,6,True,"Boston, MA",True,2.557519251383109,2026-02-20T02:56:52.079131
6760A2D6169A,USER_001,88.64,0.0938,False,82.83796666666666,61.88393934910281,300,1,2,8,Clothing,0.4,5,6,True,"New York, NY",True,2.557519251383109,2026-02-20T02:56:52.079131
F2FF9F1B1956,USER_001,91.31,0.1369,False,82.83796666666666,61.88393934910281,300,0,0,9,Jewelry,0.9,12,0,False,"Los Angeles, CA",True,2.557519251383109,2026-02-20T02:56:52.079131
7D1A36130382,USER_001,43.52,-0.6354,False,82.83796666666666,61.88393934910281,300,0,1,10,Jewelry,0.9,6,1,False,"Boston, MA",True,2.557519251383109,2026-02-20T02:56:52.079131
